21220	ADOT Trims	Trims
21221	ADOT Track 3	Track 3
21222	ADOT Ops 2	Ops 2
21223	ADOT Flag 3	Flag 3
21224	ADOT Flag 4	Flag 4
21225	ADOT Avalan2	Avalanche 2
21226	ADOT Ops 3	Ops 3
21227	ADOT Ops 4	Ops 4
21228	ADOT Cantwel	Cantwell
21229	ADOT East fo	East fork
21230	ADOT Healy	Healy
21231	ADOT Livengd	Livengood
21232	ADOT Mckinly	Mckinley
21233	ADOT Nenana	Nenana
21234	ADOT Track 5	Track 5
21235	ADOT Track 6	Track 6
21236	ADOT Flag 5	Flag 5
21237	ADOT Flag 6	Flag 6
21238	ADOT Avalan3	Avalanche 3
21239	ADOT Wg 5	Wg 5
21240	ADOT Wg 6	Wg 6
21261	ADOT N FAI 3	Fairbanks
21269	ADOT N WG Ops	DOT N WG Ops
21271	FIA PD Disp	Police/Fire Dispatch (Simulcast of 151.445)
21274	FIA Ops	Operations
21281	CVE Region D	Region D - North
21507	DNR FAS Disp	Fairbanks Area Dispatch
21508	DNR DAS Disp	Delta Area Dispatch
21509	DNR TAS Disp	Tok Area Dispatch
21518	Fairb Park R	Fairbanks Parks Rangers
21519	Fairb Park S	Fairbanks Parks Staff Ops
21551	DNR North 1	North Command 1
21552	DNR North 2	North Command 2
21553	DNR North 3	North Command 3
21554	DNR North 4	North Command 4
21555	DNR North 5	North Command 5
21556	DNR North 6	North Command 6
21557	DNR North 7	North Command 7
21558	DNR North 8	North Command 8
21559	DNR North 9	North Command 9
21621	DEC Ops	Ops
21811	AST Traff D	D Traffic
21862	AST NCIC D	D NCIC
21863	AST SERT D	D SERT
21864	AST Tok D	D Tok
21865	AST Tac D	D Tactical
21866	AST Detect D	D Detectives
21867	AST DeltaJct	D Delta Junction
21959	LMR Tech North	LMR Technicians North Zone
22111	Juv Just Fairbks	Juvenile Justice - Fairbanks
22112	Probation 3	Probation 3
22113	DOC TSP 3	Transport Ch. 3
22114	DOC TSP 4	Transport Ch. 4
22311	UAF PD/FD	Police/Fire Operations
22313	UAF Drone	UAF Drone/UAV Ops
22531	Rail N Sec 1	North Zone Security 1
22532	Rail N Sec 2	North Zone Security 2
22533	Rail N Sec 3	North Zone Security 3
23102	Fairbks PD M	Fairbanks Police Main
23103	Fairbks PD N	Fairbanks Police NCIC
23104	Fairbks PD1T	Police - Tactical 1
23105	Fairbks PD2T	Police - Tactical 2
23106	Fairbks Det	Police - Detectives
23201	Fairbks Hosp	Fairbanks Memorial Hospital
23401	FNS FD-Emerg	FNS FD Emergency
23402	NorthPole PD	North Pole Police Dispatch
23405	Deltana FD T	Rural Deltana Fire Tac
23406	Deltana FD D	Rural Deltana Fire Dispatch
23407	Fairbks VIP	Volunteers In Policing
23408	NorStar EMS	North Star Borough EMS
23409	Fairbks AC	Animal Control - Dispatch
23411	Delta Med	Delta Medical Transport
23413	Fairbks FD D	Borough-wide Fire Dispatch
23416	Fairbks FD	Fire - Dispatch
23417	FNS FD Tac 2	Fire Tac 2 (Fire Paging)
23418	FNS FD Tac 3	Fire Tac 3
23421	FNS FD Tac 4	Fire Tac 4
23422	FNS FD Tac 5	Fire Tac 5
23423	FNS FD Tac 6	Fire Tac 6
23425	FNS FD Tac 10	Fire Tac 10
23426	FNS FD MA-2	Fire Mutual Aid 2
23427	FNS FD MA-3	Fire Mutual Aid 3
23428	FNS FD MA-4	Fire Mutual Aid 4
23429	FNS FD MA-5	Fire Mutual Aid 5
23430	NP FD 1	North Pole Fire Dispatch
23431	SFD Disp	Steese Fire Dispatch
23432	UAF FD Disp	Fire Dispatch
23433	Chena FD	Chena-Goldstream Fire Dispatch
23434	Ester FD	Ester Fire Dispatch
23435	FNS FD Tac 7	Fire Tac 7
23436	FNS FD Tac 8	Fire Tac 8
23437	FNS FD Tac 9	Fire Tac 9
23440	EOC Disp	Emergency Ops Dispatch
23441	EOC Tac 2	Emergency Ops Tac 2
23442	EOC Tac 3	Emergency Ops Tac 3
23443	EOC Tac 4	Emergency Ops Tac 4
23444	EOC Tac 5	Emergency Ops Tac 5
23445	EOC Tac 6	Emergency Ops Tac 6
23446	EOC Tac 7	Emergency Ops Tac 7
23447	EOC Tac 8	Emergency Ops Tac 8
23448	EOC Tac 9	Emergency Ops Tac 9
23449	EOC Tac 10	Emergency Ops Tac 10
23450	Fairbanks Parks	Fairbanks Parks
23467	Fairbks MACS	Fairbanks MACS Transit Dispatch
23468	Fairbks VanT	Fairbanks VanTran Dispatch
23475	FNS Disp	North Star Fire Dispatch
23476	Salcha EMS	Salcha Rescue/EMS Dispatch
23480	EOC Hail	Hail
23601	Denali FD	Borough Fire/EMS Dispatch
23614	Nenana FD/EMS	Nenana Fire/EMS
23801	Tok Area FD/EMS	Tok Area Fire/EMS
26620	N Multigroup	Multigroup
26621	N Hail	Hail
26622	N Cmd 2	Command 2
26623	N Cmd 3	Command 3
26624	N Cmd 4	Command 4
26625	N Cmd 5	Command 5
26626	N Cmd 6	Command 6
26681	IC Admin 16	Admin 16
26682	IC Admin 15	Admin 15
26683	IC Admin 14	Admin 14
26684	IC Admin 13	Admin 13
26685	IC Admin 12	Admin 12
26686	IC Admin 11	Admin 11
26687	IC Admin 10	Admin 10
26688	IC Admin 9	Admin 9
26701	LE D Tac 1	LE Region D Tac 1
26702	LE D Tac 2	LE Region D Tac 2
26703	LE State Tac 2	LE Statewide Tac 2
26704	LE Jt Tac 1	LE Joint Ops Tac 1
26705	LE Jt Tac 2	LE Joint Ops Tac 2
27001	Drug North	North Zone Operations
27202	BLM Fire 1/Tac 1	Fire 1/Tac 1
27206	BLM Transport	Transportation
27208	BLM Medical	Medical
27925	Nat Guard	Alaska National Guard
27928	Nat Guard 1	Alaska National Guard 1
28101	ClearAFS 28101	Operations
28103	ClearAFS 28103	Operations
28108	ClearAFS Main	Main
28109	ClearAFS 28109	Operations
28110	ClearAFS Fire	Fire Dispatch
28111	ClearAFS 28111	Operations
28113	ClearAFS 28113	Operations
28303	AST Judge D	D Judicial Services
29000	Eielsn Igloo	"Igloo"" Callsign"""
29010	Eielsn PW 1	Public Works
29011	Eielsn PW 2	Public Works - Utility
29012	Eielsn EOD	Explosive Ordnance Disposal (EOD)
29013	Eielsn PW 3	Public Works
29014	Eielsn PW 4	Public Works (Runway Ops?)
29015	Eielsn PW 5	Public Works - Electrical
29016	Eielsn PW 6	Public Works (Trains?)
29017	Eielsn PW 9	Public Works (Ch 9?)
29022	Eielsn  FD E	Fire EMS Alerts
29023	Eielsn FD Ds	Fire Main (Ch. 1)
29024	Eielsn FD T1	Fire Tactical 1 (Ch. 2)
29025	Eielsn FD T2	Fire Tactical 2
29026	Eielsn FD	Fire
29031	Eielsn SF 1	Security Forces
29032	Eielsn SF Ds	Security Forces (SP) Main
29033	Eielsn SF 2	Security Forces (SP)
29034	Eielsn SF 3	Security Forces
29035	Eielsn SF 4	Security Forces
29036	Eielsn SF 5	Security Forces
29037	Eielsn SF 6	Security Forces
